pot_or_sample,host_genotype,MAG746A,MAG215,MAG243A,MAG221,MAG420,MAG201,MAG539,MAG199,MAG242,MAG230,MAG177,MAG204,MAG33,MAG182,MAG749B,MAG286,MAG24,MAG18,MAG176B,MAG16,MAG313,MAG21,MAG191,MAG157,MAG192D,MAG154,MAG27,MAG121,MAG540,MAG248,MAG88,MAG245,MAG258,MAG220,MAG278,MAG282,MAG10,MAG146,MAG144B,MAG123,MAG714A,MAG259,MAG533,MAG62,MAG225,MAG722B,MAG148B,MAG358,MAG184,MAG169,MAG761A,MAG158B,MAG320,MAG322,MAG325,MAG384,MAG34,MAG406,MAG342,MAG373,MAG386,MAG40,MAG41,MAG417,MAG42,MAG145,MAG48,MAG5,MAG513,MAG31,MAG514,MAG523,MAG530,MAG65,MAG66,MAG701B,MAG200,MAG726A,MAG726B,MAG73,MAG733A,MAG739A,MAG746B,MAG748A,MAG749C,MAG755A,MAG183,MAG97
initial_1,initial,0.00860954,0.00671593,0.0174858,0.0160769,0.0094385,0.00775833,0.0122824,0.0132547,0.0105877,0.0102275,0.0111053,0.00801325,0.00936394,0.010873,0.00920761,0.0134655,0.00867948,0.0223221,0.0128447,0.0097463,0.0126112,0.010271,0.0114321,0.0117928,0.0134666,0.00886278,0.0161274,0.0105695,0.0104131,0.01227,0.00861587,0.0132316,0.00837916,0.00881563,0.019156,0.0185249,0.0113417,0.0086841,0.00997232,0.0107192,0.00814446,0.00908978,0.010769,0.0109753,0.0150957,0.0127274,0.00828023,0.0101153,0.0125805,0.0121159,0.00989698,0.0129243,0.0120417,0.0145384,0.0112052,0.0101743,0.00798873,0.0108352,0.0148822,0.0134247,0.0133472,0.0109223,0.0189017,0.00859154,0.00802439,0.00911382,0.00919271,0.0153636,0.00712788,0.00971681,0.0103658,0.0107032,0.0103382,0.00730611,0.0161513,0.0117997,0.00955577,0.00967302,0.00948209,0.0100071,0.0151356,0.00999966,0.00859968,0.00968503,0.0154918,0.0147663,0.00823339,0.0112837
initial_2,initial,0.00889115,0.00693735,0.017339,0.0160805,0.00990155,0.00798139,0.0116919,0.0126974,0.011472,0.00984902,0.0116041,0.00722709,0.00887503,0.0116804,0.00885097,0.012388,0.00828052,0.0207836,0.0124024,0.00998798,0.0124888,0.0107252,0.0114714,0.0118348,0.0133301,0.00887388,0.0160058,0.0103803,0.0101758,0.0120725,0.00868491,0.013712,0.00814331,0.00936817,0.0186072,0.0175432,0.0116329,0.00873073,0.0101531,0.0110545,0.00810919,0.00870183,0.0108298,0.0110342,0.0153247,0.0130602,0.00825396,0.0105231,0.0129271,0.0114873,0.00983759,0.0132114,0.0122434,0.0149955,0.0110934,0.0102621,0.00773078,0.0110886,0.0159686,0.0137297,0.0139159,0.0104186,0.0191255,0.00887753,0.00825753,0.00881659,0.0094678,0.015404,0.00725256,0.00955135,0.0110325,0.0111902,0.0108546,0.00720164,0.0159078,0.0107549,0.00984305,0.00971907,0.00923432,0.0100108,0.0154311,0.0100079,0.00875506,0.00968479,0.0152627,0.0145209,0.00806622,0.0111127
initial_3,initial,0.00870181,0.0075076,0.0172442,0.014694,0.00945886,0.00791689,0.0122256,0.0125461,0.0103592,0.00982079,0.0117207,0.00766498,0.00912129,0.0117151,0.00903449,0.0131185,0.00868205,0.0222964,0.0128855,0.009895,0.0116049,0.010435,0.0114554,0.0117219,0.0134638,0.00868317,0.0158752,0.0102371,0.00982255,0.0124529,0.00903911,0.0140061,0.00813232,0.00905618,0.019018,0.0174119,0.0105505,0.00832716,0.0100514,0.0111361,0.00815766,0.00957174,0.0109886,0.0109813,0.0158848,0.0130738,0.00795533,0.0108616,0.0128674,0.0113236,0.00985941,0.0140128,0.012101,0.0140878,0.0112266,0.0101115,0.0075392,0.0116007,0.0152123,0.0138285,0.0137858,0.0106085,0.0196579,0.00883925,0.0083978,0.00927099,0.00928532,0.0150147,0.00709965,0.00876181,0.0105577,0.0109836,0.0101174,0.00756781,0.015816,0.0113275,0.010308,0.00925728,0.0101652,0.010152,0.0151587,0.0102171,0.00810802,0.00956948,0.0162756,0.0143637,0.00810055,0.0108974
initial_4,initial,0.00900137,0.00693808,0.0174432,0.016347,0.0100101,0.00803505,0.0118251,0.0131429,0.0102433,0.00980436,0.0109364,0.0075063,0.00877215,0.0112688,0.00977979,0.0136699,0.00829718,0.0201146,0.0127531,0.0103221,0.0117745,0.0102799,0.0107178,0.0121253,0.0136944,0.00871046,0.0150825,0.0104206,0.0101829,0.0124117,0.00862385,0.0133172,0.007724,0.00947994,0.0183578,0.0181076,0.0105359,0.00902563,0.0102428,0.0112347,0.00841441,0.00922772,0.0112719,0.0108172,0.0158963,0.0132711,0.00830593,0.0110698,0.0124177,0.0116229,0.0104769,0.0134199,0.0118733,0.0147397,0.0112077,0.0104887,0.00804753,0.0113546,0.0165072,0.0128035,0.0140653,0.0108838,0.0202711,0.00878259,0.00821009,0.00889777,0.00891047,0.0155723,0.00732105,0.00885785,0.0111083,0.010494,0.0101487,0.00724108,0.0158717,0.0109983,0.0101585,0.00974959,0.00914952,0.0099693,0.0147166,0.0106993,0.00884432,0.00898929,0.015396,0.0143822,0.00794267,0.0108741
1,HM307,0.00846803,0.00274601,0.0123845,0.000237973,0.0196616,0.00797973,0.000909563,0.0378704,0.00328644,0.00298027,0.00832475,0.00709021,0,0.00105193,0.0832276,0.0018505,0.00155218,0.00901292,0.0132752,0.000930496,0.00113355,0.00183772,0.0014164,0.0102379,0.00181725,0.0033425,0,0,0.00437559,0.0100061,0.00655487,0.0199628,0.0125088,0.00651947,0.0289938,0.00276208,0.000832792,0.00258873,0.00722022,0.00457178,0.0251926,0.00193514,0.0159458,0.0165392,0.00214237,0.0766624,0.0181437,0.000719377,0.00383096,0.00131353,0.0128748,0.00361679,0.0368917,0.0101745,0.0076532,0.000156249,0.00550044,0.010365,0.0025317,0.0251247,0.00518038,0.00587863,0.0121569,0.000414357,0.00704644,0.00114155,0.010609,0.00209094,0.0140342,0.0109124,0.0190593,0.000960371,0.000182586,0.000153086,0.00204248,0.0780255,0.000954581,0.017959,0.0311236,0.000868644,0.0146284,0.0639545,0.0280059,0.00723228,0.0223483,0.00439398,0.0104932,0.00131247
2,HM022,0.00716397,0.00590174,0.00886979,0.00162843,0.00393896,0.0100102,0.00606996,0.0375887,0.00346783,0.0061794,0.0204117,0.00415025,0.017023,0.00511985,0.0149207,0.00521557,0.00484445,0.00608933,0.019514,0.0051055,0.0158209,0.00509406,0.00976523,0.00702574,0.02445,0.0230555,0,0.000677141,0.00560323,0.00269335,0.0118417,0.00845525,0.00445408,0.0229362,0.0480691,0.00503135,0.00300193,0.0587542,0.00996307,0.017763,0.00447856,0.00547099,0.00412254,0.00863883,0.00479334,0.00882887,0.0379754,0.0389524,0.00848894,0.00972266,0.00968739,0.00605679,0.00761839,0.000967433,0.00934727,0.0013761,0.00875588,0.00630781,0.00563964,0.0118607,0.00952725,0.0105842,0.0201466,0.000858156,0.015327,0.00381667,0.00731942,0.0300102,0.00433889,0.00732866,0.00835536,0.00953755,0.00137526,0.0234627,0.00666878,0.00700527,0.00681298,0.00560686,0.0039402,0.0106365,0.00602358,0.048496,0.00546601,0.00589922,0.0256018,0.0278781,0.00500154,0.00621667
3,HM042,0.0104668,0.00941619,0.00906151,0.00391474,0.0103695,0.00655399,0.0160702,0.0773804,0.00492007,0.00509618,0.00921673,0.00380895,0.00165222,0.0130438,0.00815892,0.0160279,0.0137669,0.00236797,0.021048,0.00798313,0.0145866,0.00306188,0.00676295,0.0371379,0.0138737,0.00548564,0.00976378,0.00546812,0.00417835,0.0172459,0.00615034,0.0100375,0.00992728,0.0027925,0.0179831,0.00813825,0.00207285,0.00399541,0.00956823,0.00983358,0.0117253,0.00418546,0.00761536,0.00711554,0.00527833,0.0200915,0.00162865,0.00920497,0.0080387,0.0172869,0.0107709,0.00454485,0.0144463,0.0185701,0.00909448,0.000885262,0.00828218,0.00488499,0.0127171,0.0210053,0.0138437,0.0235338,0.0100066,0.0246065,0.00826099,0.00504835,0.00447593,0.0113918,0.00817078,0.00889303,0.0148889,0.004211,0.000956768,0.00558804,0.00341466,0.01771,0.0142433,0.00854439,0.0356768,0.00495178,0.0077756,0.0326982,0.00773924,0.00694019,0.0297174,0.0252498,0.00453491,0.0111672
4,HM046,0.0085353,0.0520215,0.00460091,0.000439882,0.00689937,0.0116903,0.00318122,0.0213112,0.00267344,0.00531936,0.00888529,0.00872742,0.000387824,0.00258106,0.00406879,0.00258385,0.00169053,0.0106537,0.0260994,0.00291135,0.00444124,0.00315509,0.0040547,0.0104068,0.00300741,0.00875852,0,0.000939698,0.00387646,0.00151633,0.011489,0.00626752,0.00688272,0.00999528,0.0148767,0.00514751,0.001614,0.0128505,0.00549484,0.0184213,0.00852256,0.00425024,0.010437,0.00532295,0.00361472,0.0394109,0.00248471,0.00454146,0.0506108,0.00734362,0.014953,0.00279478,0.00675861,0.103917,0.00402313,0.000242158,0.0119128,0.0190249,0.0141025,0.0114133,0.00734231,0.0508832,0.0144643,0.041979,0.0110661,0.0032711,0.0475234,0.00301413,0.00660917,0.0276653,0.0116728,0.0107618,0.000258009,0.00117577,0.0156773,0.0070393,0.00257386,0.00671685,0.00834122,0.0138739,0.00373964,0.0222316,0.0054016,0.00607071,0.00568025,0.0107453,0.00358176,0.00650205
5,HM192,0.00791375,0.024488,0.0416513,0.00143503,0.0104605,0.0193542,0.00166307,0.0404334,0.00132867,0.00386336,0.00210838,0.0025691,0.00794959,0.00862945,0.016952,0.00140007,0.00340548,0.00123663,0.00863626,0.00153474,0.00144229,0.00230604,0.00159843,0.0123641,0.00210096,0.00407568,0.00415719,0.000387967,0.0039679,0.00143016,0.019666,0.00482414,0.0178703,0.0367325,0.0424226,0.00282,0.00112169,0.00544511,0.012806,0.0156103,0.0159115,0.00315185,0.00812465,0.00755433,0.00347172,0.0279617,0.031848,0.00162307,0.0119788,0.0016809,0.0234073,0.0158814,0.0168734,0.00746037,0.00718449,0.00115858,0.0201014,0.0319278,0.00338601,0.0302641,0.00631279,0.0131587,0.00965975,0.00919208,0.0172716,0.00138771,0.00530262,0.00208447,0.00844905,0.000917446,0.0101051,0.00832343,0.00112562,0.011331,0.00255044,0.0327775,0.00459515,0.0133028,0.0275854,0.00552405,0.0057787,0.097274,0.00237951,0.0043477,0.0163238,0.0045937,0.00572054,0.00151153
6,HM054,0.0142224,0.00361856,0.0081745,0.00252653,0.00997686,0.0206149,0.00519709,0.02631,0.00429824,0.00511961,0.017381,0.00330741,0.00317618,0.00772809,0.00640792,0.00274474,0.00386457,0.00969598,0.023084,0.00301918,0.00767204,0.00262927,0.0137622,0.0348387,0.0039376,0.00485802,0.00246865,0.00929456,0.00333307,0.0098292,0.018841,0.00562672,0.00978333,0.0201366,0.0121691,0.00443468,0.00213533,0.0344216,0.00648807,0.00888408,0.00806809,0.0040422,0.00841208,0.00787269,0.00416609,0.0193348,0.00969383,0.00455374,0.0057518,0.00815364,0.0154568,0.00342944,0.0159528,0.0410733,0.00996657,0.00571166,0.0196687,0.0106578,0.00684652,0.0161998,0.00852438,0.0248326,0.0397888,0.00303473,0.0228472,0.00225899,0.051617,0.00584305,0.00788698,0.00600766,0.0143661,0.00549905,0.00555712,0.0135277,0.00471655,0.0135102,0.00694349,0.0080555,0.0137857,0.00624062,0.00586644,0.0340554,0.00893987,0.00823283,0.0153033,0.0280425,0.00313641,0.0105558
7,HM049,0.00835673,0.00425395,0.00547193,0.00243583,0.0136536,0.00577929,0.0045792,0.0125549,0.00186714,0.00323726,0.00234512,0.00171428,0.00373019,0.00121961,0.0114152,0.0114726,0.00123432,0.0141987,0.0092879,0.0171593,0.00430423,0.0029858,0.00547356,0.0143468,0.00207528,0.0087341,0.00582387,0.000937655,0.00561514,0.00170705,0.00561715,0.00613911,0.0120452,0.000553656,0.0483417,0.00734647,0.00386413,0.0343804,0.00616831,0.0600342,0.0227347,0.00509578,0.0117133,0.0109668,0.0029603,0.0488274,0.033443,0.00241131,0.0106941,0.00790684,0.025935,0.00465647,0.0379709,0.0183753,0.00727033,0.0161046,0.00556966,0.00679874,0.00688437,0.028674,0.0160682,0.00291145,0.00510451,0.00466981,0.0068626,0.00280481,0.00976475,0.00491457,0.010909,0.00232725,0.0150522,0.000917837,0.0107942,0.0160601,0.00652952,0.0454443,0.00102684,0.0127132,0.0257895,0.000892726,0.00575319,0.0260317,0.0163913,0.0104318,0.0124816,0.0299324,0.00615496,0.00381168
8,HM014,0.0124351,0.0186241,0.00539206,0.00149462,0.0045518,0.00282289,0.0239402,0.0106404,0.0028636,0.00564935,0.0260949,0.00363385,0.00249943,0.0043515,0.00925095,0.0133348,0.00337984,0.00800381,0.0133194,0.00733364,0.00779266,0.0029424,0.00894523,0.0117253,0.00258777,0.0055622,0.000120422,0.00417548,0.00917527,0.0244433,0.00377753,0.0061757,0.0052745,0.0196522,0.0278921,0.00512516,0.00176303,0.0325359,0.00954382,0.016156,0.00746605,0.00424074,0.00444339,0.00562915,0.00528629,0.0492247,0.00373643,0.0190175,0.00703934,0.0115141,0.0190803,0.00492082,0.0111171,0.0121225,0.00696681,0.000595919,0.00252,0.0633985,0.00592998,0.00928955,0.0127261,0.0138763,0.0287057,0.00395273,0.00342885,0.00920839,0.0154742,0.00757886,0.00465648,0.00294494,0.0056009,0.00471978,0.00062935,0.0122034,0.0068434,0.0112223,0.0051345,0.00705581,0.0237963,0.00458251,0.0186679,0.0934284,0.0123806,0.00654334,0.0146541,0.0183169,0.0047199,0.00842658
9,HM272,0.00152084,0.00224727,0.00206888,0.0020692,0.040189,0.00473776,0.000738851,0.00160414,0.000579847,0.00177428,0.000837397,0.0138555,0.000450167,0.00103533,0.0122077,0.000815793,0.00104317,0.000269302,0.00426049,0.000673258,0.00139138,0.00166786,0.000551439,0.0041842,0.00129681,0.00294187,0.000191953,0.014185,0.00296806,0.186607,0.00464131,0.00270036,0.00803336,0.000187107,0.00247419,0.00440168,0.000658088,0.066421,0.0055724,0.0223266,0.0209804,0.00249779,0.0358867,0.00498493,0.00141547,0.00496676,0.0537002,0.000625452,0.003604,0.00179652,0.00713521,0.00162509,0.152085,0.000891934,0.00330458,0.0013383,0.00204248,0.002849,0.0140978,0.0327491,0.0112237,0.0170752,0.000643809,0.000219408,0.00245867,0.000599394,0.00134252,0.00153493,0.0346108,0.000680182,0.0893653,0.000941205,0.00099986,0.000543167,0.00240272,0.00451726,0.00111644,0.00709973,0.011676,0.000839781,0.00267535,0.0204226,0.00116024,0.00194935,0.00190014,0.00138597,0.00489803,0.000761216
10,HM125,0.0310894,0.0150943,0.00399941,0.00289147,0.00576564,0.00926998,0.024194,0.0123818,0.00275223,0.00559045,0.0158392,0.00259174,0.00250685,0.00158404,0.00977525,0.03361,0.00169691,0.0181067,0.0352711,0.00559773,0.00850906,0.0023916,0.00215098,0.0327639,0.00276318,0.00514284,0.00682562,0.0211126,0.00415357,0.0140905,0.00827643,0.00490539,0.010147,0.0446394,0.0123677,0.00368174,0.00140912,0.07528,0.00526485,0.00946189,0.00707701,0.00331564,0.0067369,0.00607616,0.00443038,0.034598,0.0100859,0.00668192,0.00621907,0.00592434,0.01513,0.00751896,0.00877034,0.0184379,0.0162444,0.00641892,0.00830728,0.0137405,0.0061541,0.0113739,0.00792338,0.0128493,0.00317642,0.00101846,0.00991476,0.00495064,0.00779896,0.00838336,0.00552927,0.0066855,0.00823547,0.00139622,0.00941687,0.00798332,0.00323284,0.0286888,0.00141763,0.0117311,0.0166737,0.00124338,0.00787964,0.0486264,0.037204,0.00788061,0.00794518,0.00666349,0.00416636,0.00319763
11,HM016,0.035429,0.00342716,0.0174477,0.00112138,0.0132779,0.00720286,0.00110561,0.0126935,0.00142639,0.00458053,0.00735713,0.00322422,0.0124554,0.00724445,0.00650485,0.00145691,0.0040871,0.00476457,0.0458519,0.00107781,0.00299426,0.0135796,0.0022492,0.0305955,0.00339024,0.00592242,0.000108125,0.000408832,0.00640232,0.0151082,0.00867339,0.0187888,0.0145282,0.00020503,0.0330024,0.00551915,0.00170125,0.0117875,0.0124681,0.0199076,0.0388894,0.00640215,0.0126276,0.00470336,0.003589,0.0216252,0.0113033,0.000971298,0.00509657,0.00364953,0.0168153,0.00435595,0.0278037,0.0140098,0.0147261,0.000984176,0.00591671,0.0215374,0.0154826,0.0196243,0.00985676,0.00978206,0.00292625,0.000257081,0.009273,0.00202843,0.0113317,0.00332065,0.0111239,0.00983119,0.0119549,0.00136115,0.00123066,0.00935626,0.0362238,0.0549504,0.00604742,0.0152473,0.0261284,0.00121591,0.011148,0.013076,0.0424606,0.0112588,0.00661668,0.0254967,0.00405776,0.0032481
12,HM151,0.00810578,0.00546448,0.00667883,0.000505201,0.0101562,0.00149237,0.00198059,0.0529122,0.00344639,0.00525135,0.00257127,0.00203249,0.00131185,0.00142119,0.0108866,0.00152947,0.00178828,0.0011778,0.0433404,0.00161999,0.0156292,0.00431787,0.00788519,0.0109578,0.00307025,0.00561347,0,0.000112228,0.0304028,0.0319137,0.00143937,0.00906218,0.00901503,0.0185896,0.0866136,0.00581251,0.00255945,0.00443449,0.00569081,0.0193514,0.0096477,0.00636697,0.00905014,0.00792382,0.00345553,0.0406035,0.004279,0.00136433,0.00846104,0.0216964,0.00828819,0.00709303,0.0158747,0.0137886,0.0039072,0.000244078,0.0015422,0.0236424,0.0126434,0.0232776,0.0079296,0.00706089,0.00531963,0.00192879,0.00166408,0.00158906,0.00413807,0.0225313,0.00918172,0.0100582,0.0179668,0.000904399,0.000290704,0.00417547,0.00581064,0.0261279,0.00132122,0.0109643,0.031556,0.000844407,0.0171119,0.0067843,0.0208913,0.0397343,0.0264677,0.027024,0.00789436,0.0234352
13,HM024,0.00506523,0.0015529,0.00453887,0.00841329,0.0204705,0.00707338,0.0445163,0.00307342,0.000959988,0.00348984,0.0031377,0.00455546,0.00622628,0.00159781,0.0280212,0.00590159,0.00116016,0,0.0242887,0.00781322,0.00132004,0.00773858,0.00107117,0.0319264,0.0015426,0.00312693,0.0749067,0.000868331,0.0016237,0.00106998,0.00862603,0.00329825,0.00937374,0,0.00137851,0.0100495,0.00084659,0.00387858,0.00432433,0.00163455,0.034273,0.00206929,0.00918024,0.00694986,0.00297558,0.00708149,0.00283104,0.00436775,0.00284051,0.00160007,0.0120443,0.00140608,0.0345495,0.0370484,0.00641905,0.00896214,0.00851883,0.00377436,0.00260858,0.0113365,0.00240573,0.0274446,0.00293147,0.000248195,0.00694264,0.00234465,0.0137068,0.00141452,0.0101047,0.00108898,0.00898624,0.00611373,0.00661452,0.0195765,0.00160957,0.0151398,0.0013678,0.00901248,0.0067833,0.00723018,0.00203571,0.118825,0.00107271,0.00332652,0.00176595,0.163431,0.00585387,0.00132586
14,HM065,0.0184497,0.00575783,0.00380686,0.00208801,0.0128176,0.00609142,0.00477802,0.0310319,0.00191057,0.00442157,0.0134773,0.00340497,0.00241183,0.00331598,0.00389916,0.00159498,0.00196065,0.00303049,0.0231617,0.00257739,0.0104253,0.00225467,0.00149313,0.0397945,0.00230262,0.00455133,0.000116647,0.00442132,0.00351061,0.00983322,0.00664932,0.012752,0.012026,0.0184261,0.00251757,0.00329812,0.00134293,0.0170048,0.00440957,0.0101138,0.0144937,0.00366811,0.0194984,0.00533564,0.00277823,0.0196056,0.0630589,0.0103415,0.00805008,0.027214,0.011806,0.00214096,0.0207805,0.047537,0.00574268,0.00116692,0.00453371,0.00958898,0.00887926,0.0127044,0.00514453,0.0275812,0.0106958,0.0115363,0.00613402,0.00168226,0.0204605,0.00267883,0.0132018,0.0112723,0.0323052,0.00149759,0.00124778,0.00848352,0.00471427,0.0503082,0.00254853,0.0225741,0.0384622,0.0013475,0.00440338,0.0532864,0.00747398,0.00697706,0.013377,0.018336,0.00386816,0.00224555
15,HM201,0.0102476,0.0122035,0.00497027,0.00251567,0.00973209,0.0120205,0.00154361,0.0111612,0.00212662,0.00478757,0.00908256,0.00254444,0.00162924,0.00363231,0.00971083,0.00986824,0.00357202,0.00766062,0.018246,0.00138738,0.00582978,0.00316749,0.00491743,0.0318693,0.00391248,0.00522971,0,0.0101006,0.00445176,0.0126991,0.0143123,0.0167277,0.0103116,0.0222687,0.0312194,0.00465499,0.00162423,0.0438217,0.00708242,0.0121848,0.00988848,0.00476794,0.00786806,0.00613317,0.00353303,0.048063,0.0253929,0.00133753,0.0054184,0.00962804,0.0170086,0.00491322,0.0161544,0.0532798,0.0084448,0.00321005,0.00879577,0.00940267,0.0145973,0.0250065,0.0120266,0.00999075,0.0188895,0.000416155,0.0149605,0.002348,0.0108825,0.0134262,0.00747285,0.0116076,0.00820717,0.00114471,0.00269631,0.00554143,0.00549483,0.0344951,0.00499966,0.0177435,0.0172664,0.00101169,0.00838522,0.0312459,0.0239972,0.0244333,0.0189228,0.00727523,0.00776714,0.00948024
16,HM048,0.00673785,0.00278641,0.00508186,0.00180697,0.0130746,0.00665464,0.00177198,0.0322111,0.00331559,0.00494959,0.00412881,0.00518652,0.00222959,0.00557362,0.00833334,0.00170414,0.00370764,0.0332137,0.0533819,0.00179116,0.009139,0.00331113,0.0106741,0.0157467,0.00247736,0.00451646,0.000165932,0.00284961,0.00385648,0.017302,0.00613508,0.0059302,0.00955969,0.00617332,0.00491182,0.00562574,0.00171106,0.00490817,0.00650831,0.0191144,0.0237963,0.0118497,0.0125789,0.00977689,0.00400855,0.0246254,0.0108459,0.00164159,0.0053066,0.0153482,0.0192316,0.00313174,0.0304656,0.0308933,0.0138011,0.00912473,0.00673028,0.0106857,0.0139049,0.0256522,0.010952,0.0108325,0.060964,0.000597035,0.0071908,0.00174014,0.0232759,0.0247235,0.0100221,0.00171291,0.0103288,0.0068028,0.006251,0.00565701,0.0105817,0.0109417,0.00657811,0.0166874,0.0190114,0.00825129,0.00899092,0.0277027,0.00312896,0.0142962,0.0188064,0.039941,0.00475701,0.0076181
17,HM099,0.0102689,0.0146271,0.00959431,0.00505644,0.0138178,0.0105861,0.00257579,0.026786,0.00200589,0.00414972,0.00808188,0.00986383,0.00439269,0.00446224,0.00509759,0.00814129,0.00399899,0.00883124,0.013921,0.00264143,0.00372421,0.00322224,0.00396009,0.00736015,0.00241418,0.00776921,0.0018178,0.014054,0.00794547,0.00643991,0.0084832,0.00742277,0.00848234,0.00979026,0.0825127,0.00885794,0.00642596,0.00824157,0.00701397,0.0137848,0.0130408,0.00445784,0.0127696,0.00651924,0.00406682,0.0302732,0.00517044,0.00822992,0.0149115,0.00568481,0.0141591,0.00603312,0.0348619,0.015686,0.0047913,0.0112491,0.00637248,0.00683417,0.0114981,0.0365919,0.00880252,0.00848246,0.00593175,0.00502553,0.00922124,0.00853075,0.0109861,0.00983807,0.0113105,0.00510837,0.0191758,0.0118764,0.0110632,0.0158449,0.00986625,0.0388239,0.00619052,0.00857599,0.0220244,0.0128059,0.0102801,0.022986,0.021506,0.0217348,0.0181269,0.0161127,0.00439555,0.00354937
18,HM172,0.0117823,0.00481018,0.00828127,0.00185737,0.00618648,0.0161683,0.00164926,0.00804653,0.00485841,0.00839274,0.0131423,0.00302681,0.00209236,0.0161402,0.00393592,0.0024353,0.00625532,0.0089459,0.00991673,0.00154218,0.0136554,0.00327729,0.00327797,0.012287,0.00342232,0.0042572,0.000120409,0.00436154,0.00435683,0.0337342,0.0124117,0.0131858,0.0128302,0.0472822,0.00746554,0.00610903,0.00167511,0.0390474,0.00842208,0.0197251,0.00867949,0.00423666,0.0049595,0.009917,0.00477643,0.0504719,0.00493163,0.00161798,0.00599299,0.0104793,0.0121249,0.0033956,0.017119,0.0322485,0.00697316,0.00604164,0.0138401,0.00383898,0.00864406,0.0101881,0.00736406,0.0140697,0.0551585,0.00663406,0.0163194,0.00216929,0.0360324,0.00372356,0.00511452,0.0202823,0.00582151,0.0067142,0.00416831,0.00733594,0.00933096,0.0488404,0.0158986,0.0161806,0.0265479,0.00724412,0.00447433,0.00630612,0.0201882,0.00625766,0.0136979,0.0178219,0.00296576,0.00249078
19,HM119,0.0276525,0.00649598,0.00541561,0.000893843,0.0121403,0.00387178,0.00983892,0.0157575,0.00447273,0.00489403,0.0123624,0.0028976,0.00342295,0.0178145,0.0132674,0.00207615,0.00575102,0.00760345,0.0478852,0.00418552,0.00390134,0.00282015,0.00426827,0.0391861,0.0058421,0.00475121,0,0.00183105,0.00479367,0.00450048,0.00423457,0.0123162,0.0158,0.00227348,0.0140526,0.00619343,0.00140638,0.006094,0.00652203,0.00871779,0.0235638,0.00348384,0.0152461,0.00810759,0.00464467,0.043361,0.00113344,0.0138829,0.00652764,0.00577818,0.0113005,0.00891769,0.0183757,0.0063583,0.013918,0.00174744,0.00314068,0.0228834,0.0140252,0.0300435,0.00907731,0.0195104,0.0086915,0.00377584,0.00493013,0.00208515,0.0206465,0.00503371,0.0124151,0.00701156,0.0215833,0.00492512,0.00125678,0.0158886,0.0110289,0.0307225,0.0127563,0.0188891,0.0563127,0.00424189,0.00548979,0.0416113,0.0140817,0.00981316,0.0182471,0.0126957,0.00918882,0.00344616
20,HM301,0.00724726,0.00338408,0.00600611,0.00231597,0.00630689,0.00642185,0.00177238,0.0135883,0.00144296,0.00383622,0.00322531,0.00309959,0.0044932,0.00571832,0.00412852,0.00115679,0.00384605,0.0197191,0.0147541,0.00268718,0.00619452,0.00322953,0.00253357,0.00936353,0.00252095,0.00443474,0.0048556,0.00356554,0.00572249,0.00168231,0.00907452,0.00498231,0.00894354,0.00253448,0.188284,0.00373491,0.0101505,0.00792608,0.00532745,0.00723195,0.00965719,0.0111849,0.00709468,0.00319633,0.00360414,0.033681,0.0199844,0.00149517,0.00818843,0.0142417,0.00680816,0.00635974,0.0152113,0.105274,0.00358321,0.00150471,0.00552583,0.00772226,0.00741557,0.0297536,0.0165522,0.0129674,0.00448569,0.000321367,0.00728745,0.00182917,0.00470633,0.00409856,0.00648815,0.00420558,0.00909356,0.00244868,0.00150619,0.0199704,0.0112524,0.0214078,0.00898914,0.00904171,0.0484665,0.00272046,0.0119054,0.0172869,0.0128585,0.00606894,0.00985623,0.0273098,0.00501144,0.002935
21,HM131,0.00566931,0.0208536,0.00546382,0.0074004,0.00737724,0.0178561,0.00164152,0.00635206,0.00392552,0.00474879,0.00727524,0.00465557,0.0012219,0.0020327,0.00411619,0.00592812,0.00166032,0.00146284,0.0293463,0.00168855,0.00410154,0.00316488,0.00151573,0.00917837,0.00755446,0.00741107,0.0001402,0.000596136,0.00375869,0.0229136,0.0132273,0.0052153,0.0142616,0.0422808,0.0204232,0.00519898,0.00445568,0.00674013,0.0069074,0.0182757,0.0177205,0.00400241,0.00599086,0.00521329,0.00328981,0.075989,0.0368233,0.00215025,0.0231355,0.00644403,0.0131837,0.00379189,0.0112848,0.0774154,0.0147674,0.00128238,0.0100334,0.00660472,0.0181096,0.0174891,0.00750584,0.0141683,0.0185471,0.000689984,0.0130139,0.00228316,0.0345256,0.00631599,0.00632474,0.00777211,0.00649165,0.0141187,0.00116803,0.00342801,0.00380974,0.0160556,0.00190773,0.0137251,0.00706258,0.0200463,0.0305985,0.0332904,0.00749634,0.00751251,0.00437231,0.0197442,0.00375033,0.0015573
