pot_or_sample,host_genotype,MAG746A,MAG215,MAG243A,MAG221,MAG420,MAG201,MAG539,MAG199,MAG242,MAG230,MAG177,MAG204,MAG33,MAG182,MAG749B,MAG286,MAG24,MAG18,MAG176B,MAG16,MAG313,MAG21,MAG191,MAG157,MAG192D,MAG154,MAG27,MAG121,MAG540,MAG248,MAG88,MAG245,MAG258,MAG220,MAG278,MAG282,MAG10,MAG146,MAG144B,MAG123,MAG714A,MAG259,MAG533,MAG62,MAG225,MAG722B,MAG148B,MAG358,MAG184,MAG169,MAG761A,MAG158B,MAG320,MAG322,MAG325,MAG384,MAG34,MAG406,MAG342,MAG373,MAG386,MAG40,MAG41,MAG417,MAG42,MAG145,MAG48,MAG5,MAG513,MAG31,MAG514,MAG523,MAG530,MAG65,MAG66,MAG701B,MAG200,MAG726A,MAG726B,MAG73,MAG733A,MAG739A,MAG746B,MAG748A,MAG749C,MAG755A,MAG183,MAG97
463,HM025,0.00387092,0.00401247,0.00951364,0.00127139,0.00259583,0.0105376,0.0264546,0.00443059,0.00525175,0.00633628,0.0218615,0.0128831,0.000291043,0.0107939,0.00276841,0.0162708,0.0150286,0.00318012,0.00459671,0.00762411,0.0146597,0.00467469,0.00310038,0.00265155,0.00289093,0.00959101,0,0.00029984,0.00674336,0.0305988,0.0174692,0.0112121,0.00358074,0.0119546,0.0757475,0.024039,0.017118,0.024554,0.00687538,0.00582599,0.0030777,0.0067125,0.00217333,0.00203927,0.00661641,0.0158391,0.0162042,0.00576249,0.00437757,0.0235157,0.00280882,0.00655657,0.00617444,0.0152945,0.00607811,0.0176897,0.0163573,0.00480264,0.0102429,0.00546481,0.00860486,0.056639,0.00826553,0.000717694,0.0116116,0.00560517,0.010655,0.0754565,0.0022798,0.00192219,0.00325656,0.0201509,0.00936972,0.000413095,0.0176564,0.021822,0.00868088,0.0039375,0.00839619,0.0286687,0.00520625,0.00651242,0.00389485,0.00824068,0.00548027,0.0398058,0.00187922,0.003923
464,HM011,0.00698041,0.00194485,0.00684317,0,0.00902445,0.0127192,0.00125183,0.0256338,0.00130344,0.00384579,0.00737451,0.00205139,0,0.00225173,0.00183534,0.0050895,0.00247482,0.00195765,0.0103735,0.00125388,0.00536209,0.00325839,0.0114438,0.00416259,0.00245025,0.00431903,0.000121217,0,0.00380714,0.0078648,0.00644128,0.0267327,0.00423197,0.0766402,0.0458648,0.00376846,0.00109543,0.00448811,0.023128,0.0213311,0.0123256,0.00592477,0.00819675,0.00259195,0.00210241,0.0166639,0.000612965,0.00146688,0.015616,0.0121271,0.00408585,0.00492403,0.0360062,0.131807,0.00323862,0,0.00696082,0.00619309,0.00703153,0.0260306,0.00668294,0.00579746,0.00225184,0.0017839,0.00735277,0.00203586,0.00570917,0.0160869,0.00692919,0.0138014,0.00654986,0.00341416,0.000105405,0.000159986,0.00369459,0.0416454,0.00327029,0.00659061,0.00772827,0.0042058,0.00413566,0.0050684,0.00387979,0.0234231,0.0334842,0.0548965,0.00165094,0.0630386
465,HM307,0.00956809,0.00373612,0.0147402,0.000171392,0.00534078,0.00785046,0.0013695,0.00808809,0.00182269,0.00470758,0.00281754,0.01315,0.000304637,0.00184162,0.00278631,0.00116521,0.0014487,0.000752921,0.0144755,0.00127415,0.00519593,0.00300478,0.00500607,0.0071701,0.00228363,0.00502078,0,0,0.00660788,0.0108922,0.0100074,0.00684217,0.00764014,0.0164805,0.111714,0.0101655,0.00153211,0.0121889,0.0057078,0.0130248,0.0148938,0.00464286,0.00576422,0.00289371,0.0039682,0.173769,0.00080911,0.00124511,0.00588354,0.00724692,0.00429785,0.00635117,0.0207789,0.0495597,0.00271695,0.000158558,0.00600561,0.00892626,0.018311,0.019598,0.0110424,0.077038,0.00319436,0.00155748,0.00734403,0.00109715,0.00892284,0.0117186,0.00586215,0.0020442,0.00639167,0.00138248,0.000171957,0.00142895,0.00895268,0.0156643,0.00172024,0.0176828,0.0193807,0.00145013,0.0170104,0.0041148,0.0142932,0.00974855,0.00543938,0.038878,0.00278558,0.00796683
466,HM003,0.0121827,0.00687076,0.00942564,0.00249784,0.00970179,0.0116252,0.00231026,0.0314498,0.00190315,0.00479322,0.0318034,0.0134715,0.00214019,0.0033395,0.00623877,0.0123636,0.00323508,0.0195002,0.0260184,0.00233026,0.00383521,0.00248467,0.00687072,0.0135931,0.00484196,0.0046514,0,0.0299,0.00580342,0.00907214,0.017885,0.0147291,0.0110083,0.00922064,0.017508,0.00834269,0.00416748,0.0117452,0.00693761,0.00960994,0.00874951,0.00371249,0.00741398,0.00788503,0.00338495,0.0557003,0.00442293,0.00461353,0.011942,0.0063845,0.00850273,0.00448193,0.0157576,0.0525454,0.00857071,0.0015006,0.0121699,0.0142837,0.00639981,0.0199402,0.0264606,0.00684391,0.0120535,0.00368335,0.0143626,0.00346742,0.0120713,0.00309637,0.00705368,0.00454333,0.011079,0.00785991,0.0014186,0.00613547,0.0040499,0.0759578,0.0044111,0.0146329,0.010467,0.0104294,0.0166663,0.0136202,0.00922343,0.0134764,0.00878767,0.0107731,0.0056888,0.0179173
467,HM036,0.00935818,0.00345041,0.0111244,0.00057422,0.0105743,0.00959202,0.00230851,0.012367,0.00335507,0.0043141,0.0114659,0.00764935,0.00311531,0.00698724,0.00817181,0.00216292,0.00367872,0.0212446,0.00663005,0.00211455,0.00737503,0.00462898,0.008406,0.0109756,0.00290964,0.00500279,0,0.000185831,0.0112361,0.0337778,0.00794419,0.0116412,0.00697751,0.00938508,0.128154,0.0170172,0.00230637,0.0125131,0.0104223,0.0241278,0.0117199,0.00552611,0.00738342,0.00479208,0.00477795,0.0601965,0.000938696,0.00196582,0.0074278,0.0152273,0.0103998,0.00669875,0.0215642,0.0121105,0.0111657,0.00261851,0.00749036,0.0078155,0.0111667,0.011642,0.0114902,0.0170491,0.0261954,0.000625635,0.0115881,0.00191757,0.0169238,0.00377011,0.00660689,0.00666899,0.00635052,0.00893125,0.00193106,0.00164125,0.023506,0.025498,0.00477583,0.00727023,0.0130874,0.0118194,0.0133001,0.0233563,0.00711155,0.0127985,0.0109358,0.0313376,0.00615095,0.00951013
468,HM093,0.00932936,0.0137601,0.00574582,0.0013355,0.00429584,0.00870492,0.00625606,0.0289672,0.00624827,0.00486442,0.0230138,0.0056013,0.00245569,0.0111853,0.00516071,0.0402674,0.0069853,0.0240676,0.00931303,0.00412305,0.0177328,0.00339689,0.0134808,0.00570973,0.00286366,0.00482429,0,0.000263946,0.00567878,0.0193365,0.00969156,0.0143004,0.00531202,0.00880188,0.0149335,0.00575502,0.0112642,0.00463214,0.00942559,0.0210676,0.00764338,0.00815993,0.00324676,0.00401116,0.0053286,0.0351797,0.0175533,0.0145521,0.0117409,0.0264253,0.00678367,0.00484102,0.00725283,0.0437048,0.0140089,0.000786513,0.00707512,0.0243784,0.0160689,0.00915129,0.0387003,0.0219905,0.0244533,0.00209329,0.0108508,0.00783944,0.0274031,0.00559645,0.00341371,0.00351072,0.00426554,0.00439785,0.000704212,0.00905137,0.00794717,0.00629107,0.0189804,0.00762968,0.00588889,0.00434872,0.00675806,0.0174078,0.00861708,0.0110548,0.0180655,0.0184936,0.00291783,0.0332844
469,HM306,0.0154288,0.00831609,0.00586192,0.000659499,0.0114364,0.0140726,0.00429263,0.0212852,0.00244997,0.00512921,0.00512702,0.00618307,0.0054822,0.00217854,0.00263977,0.00794247,0.0020379,0.0130221,0.0424432,0.00239101,0.0150196,0.00377585,0.00278635,0.00990246,0.00298677,0.0100091,0.00424333,0.000253736,0.00956894,0.00748386,0.0222899,0.0112158,0.0122029,0.0021228,0.127806,0.00870652,0.00228778,0.0104828,0.00816604,0.0154342,0.0075074,0.00473578,0.0059096,0.00371454,0.00440954,0.0390915,0.00177814,0.00454008,0.0110056,0.0189283,0.00694262,0.00661596,0.014431,0.04528,0.0090389,0.000641813,0.0124618,0.00814479,0.0122535,0.0106186,0.0175951,0.0200559,0.00291977,0.00584172,0.0186242,0.00462399,0.00490852,0.00525363,0.00601938,0.0107674,0.00846439,0.00519633,0.000681743,0.00644574,0.0110273,0.0254639,0.00220889,0.0105438,0.0116668,0.00604619,0.00796811,0.0130868,0.0245248,0.012247,0.036671,0.0154407,0.00644702,0.00608585
470,HM040,0.0123188,0.00341666,0.00842327,0.0017042,0.00669541,0.0127755,0.0135373,0.017449,0.00227419,0.00574592,0.0168805,0.00458507,0.000440447,0.0034385,0.00494906,0.00426005,0.00268881,0.00745235,0.00870332,0.00426071,0.00549002,0.00306608,0.0034884,0.00763264,0.00283507,0.00517857,0.000133072,0.00127274,0.00969981,0.00188647,0.0127691,0.016544,0.00612719,0.0165254,0.0365302,0.00443834,0.00145328,0.0148118,0.00703954,0.0149303,0.00691264,0.00370233,0.00464164,0.00404155,0.00433554,0.0679595,0.046294,0.00294714,0.00840992,0.00770111,0.0109334,0.00444862,0.0143696,0.00849936,0.0138373,0.0175143,0.0107383,0.0108756,0.00463559,0.00843544,0.0096078,0.0248857,0.0455764,0.000601891,0.0108055,0.00247198,0.027062,0.00547695,0.00480463,0.00396493,0.00537443,0.00501098,0.0102838,0.000650188,0.00464689,0.0183276,0.00397648,0.00635876,0.0131465,0.00573144,0.00875187,0.0358486,0.0113056,0.0109458,0.0101623,0.131412,0.00327402,0.0044511
471,HM101,0.0119846,0.00368916,0.00620753,0.000884476,0.00673447,0.0241516,0.0074825,0.012617,0.00237413,0.00499305,0.0145467,0.00413588,0.000519442,0.00549834,0.00636772,0.00877556,0.00405241,0.01173,0.0178104,0.00356074,0.0142436,0.00329796,0.00456963,0.01327,0.00280599,0.00507239,0.000542388,0.000214842,0.00492407,0.0215627,0.0240345,0.0211463,0.00718495,0.00863939,0.0132271,0.00550401,0.00170254,0.0130507,0.00923401,0.0151791,0.00990338,0.00484067,0.00705461,0.00587047,0.00361912,0.0467051,0.0185324,0.00619543,0.0103785,0.0148555,0.0130621,0.00401517,0.0180911,0.0589755,0.0151553,0.00119133,0.0153289,0.0187001,0.00968001,0.0122643,0.0113045,0.0156618,0.0132208,0.0118975,0.0213215,0.00326365,0.0133136,0.00952449,0.00629746,0.00770205,0.00872104,0.00289136,0.00150326,0.00166282,0.0061496,0.0282456,0.00704026,0.00854731,0.0185935,0.00285291,0.00611879,0.0328752,0.00984357,0.01252,0.0141032,0.0698915,0.00484538,0.00814664
472,HM268,0.00237545,0.00134799,0.0155541,0.000687643,0.00420868,0.0126255,0.00114337,0.0342458,0.0115461,0.0032066,0.0102695,0.00151649,0.000210409,0.00585361,0.00135577,0.00341733,0.00398527,0.000119988,0.00186926,0.000971588,0.0383448,0.00326632,0.00156973,0.00244875,0.00208583,0.00366126,0.0001363,0,0.013298,0.0387847,0.0169341,0.0241124,0.00309347,0,0.0406993,0.00440282,0.0443702,0.00213256,0.00489242,0.0339178,0.00620253,0.00570734,0.00415192,0.00197035,0.00646957,0.002438,0.0645029,0.00091008,0.00606464,0.0212673,0.00261427,0.00422881,0.0634295,0.216695,0.00122569,0.000381378,0.00838895,0.00411283,0.00641572,0.00780476,0.00498149,0.0018059,0.00231849,0.000163675,0.00854611,0.00182322,0.0034789,0.0433479,0.00440926,0.000904349,0.00368703,0.00109623,0.000322588,0.000178898,0.0183439,0.00147897,0.0100248,0.00327627,0.00296243,0.00114609,0.00339754,0.00556547,0.00179846,0.00499265,0.0231892,0.0140088,0.0012946,0.00181438
